Risultati Survey AI Competency
Punteggio complessivo;91%
Livello;AI Champion
Domande totali;18
Corrette;12
Saltate;0

Macrodimensione;Punteggio
"Fondamenti Chiave";91%
"Pratica Operativa";98%
"Pensiero Strategico";86%

Dimensione;Macrodimensione;Punteggio
"AI Literacy";"Fondamenti Chiave";100%
"Automazioni e Agenti";"Pensiero Strategico";84%
"Uso dell'AI per la Produttività";"Pratica Operativa";100%
"Etica e Regolamentazione";"Fondamenti Chiave";100%
"Prompting Operativo";"Pensiero Strategico";93%
"Consapevolezza Rischi e Sicurezza";"Fondamenti Chiave";73%
"Selezione degli Strumenti AI";"Pratica Operativa";94%
"Valutazione dell'Output e Fact-Checking";"Pensiero Strategico";80%
"Identificazione dei Casi d'Uso";"Pratica Operativa";100%

N;Domanda;Tipo;Macrodimensione;Dimensione;Corretta;Saltata;Risposta utente;Risposta corretta
1;"Seguendo la classificazione dei livelli di rischio dell’AI Act (Regolamento UE 2024/1689), ordina queste pratiche da quella che presenta il rischio minimo (1) a quella che presenta un livello di rischio non accettabile (4).";ordering;"Fondamenti Chiave";"Etica e Regolamentazione";Si;No;"Strumenti di AI utilizzati per indicizzare e organizzare automaticamente contenuti interni aziendali (es. documenti, pagine intranet, archivi), facilitando la ricerca e il recupero delle informazioni | Chatbot utilizzato per guidare i nuovi dipendenti durante l'onboarding, rispondendo alle loro domande su procedure aziendali, benefit e regolamenti interni in modo automatizzato | Utilizzo di AI per pre-valutare candidati nella fase di screening CV, con punteggi automatici consultati da HR | Sistema di AI che assegna punteggi comportamentali ai dipendenti basandosi su dati raccolti al di fuori del contesto lavorativo, per valutare affidabilità o attitudine, influenzando promozioni o penalizzazioni";""
2;"Un'azienda ha configurato un agente AI con accesso al CRM e alla casella email del servizio clienti. L'agente è istruito per leggere i reclami, redigere una bozza di risposta e inviarla al cliente. Un giorno, l'agente invia autonomamente a un cliente un'email in cui si scusa per un disservizio e gli offre un rimborso del 50% sul canone mensile — un'azione non prevista da alcuna policy aziendale. Quale affermazione identifica più correttamente la causa di fondo di questo tipo di incidente?";multiple_choice;"Fondamenti Chiave";"Consapevolezza Rischi e Sicurezza";No;No;"Il prompt di sistema dell'agente non conteneva istruzioni sufficientemente dettagliate sulle azioni consentite e sui limiti operativi: con un prompt più strutturato e vincolante, l'agente si sarebbe attenuto rigorosamente alla policy aziendale senza generare offerte non autorizzate.";"I modelli linguistici generano risposte che seguono schemi plausibili nel contesto, come offrire un rimborso a fronte di un reclamo, senza distinguere tra un'azione permessa e una soltanto verosimile. L'accesso diretto all'email ha trasformato questa risposta in un'azione concreta."
3;"Quali dei seguenti strumenti AI dispongono di funzionalità specifiche per l'analisi di dati numerici (ad esempio, elaborazione di file CSV, calcoli statistici, creazione di grafici)?";checkboxes;"Pratica Operativa";"Selezione degli Strumenti AI";No;No;"ChatGPT | Microsoft Copilot | Claude Code / Claude Cowork | Gemini";"Microsoft Copilot | ChatGPT | Gemini"
4;"Un responsabile di team vuole individuare quali attività lavorative del suo reparto possano trarre il maggior vantaggio dall'introduzione di strumenti di AI generativa. Quale dei seguenti approcci è il più efficace per identificarle?";multiple_choice;"Pratica Operativa";"Identificazione dei Casi d'Uso";Si;No;"Mappare i processi del team e individuare i passaggi che coinvolgono elaborazione, sintesi o generazione di contenuti a partire da informazioni già disponibili, valutando dove l'AI accelererebbe il lavoro.";"Mappare i processi del team e individuare i passaggi che coinvolgono elaborazione, sintesi o generazione di contenuti a partire da informazioni già disponibili, valutando dove l'AI accelererebbe il lavoro."
5;"Quali delle seguenti affermazioni descrivono correttamente il funzionamento di un Large Language Model (LLM)?";checkboxes;"Fondamenti Chiave";"AI Literacy";Si;No;"Un LLM può adattarsi a nuovi compiti tramite tecniche come fine-tuning o prompt engineering. | Un LLM utilizza rappresentazioni numeriche (embedding) per interpretare relazioni tra parole e concetti. | Un LLM elabora il testo dividendo l’input in unità chiamate token. | Un LLM genera testo prevedendo il token successivo sulla base del contesto.";"Un LLM può adattarsi a nuovi compiti tramite tecniche come fine-tuning o prompt engineering. | Un LLM elabora il testo dividendo l’input in unità chiamate token. | Un LLM genera testo prevedendo il token successivo sulla base del contesto. | Un LLM utilizza rappresentazioni numeriche (embedding) per interpretare relazioni tra parole e concetti."
6;"Devi scegliere una tra tre possibili strategie (A / B / C) per affrontare un’attività professionale.Hai alcune informazioni disponibili, ma non sono complete e sai che serviranno ulteriori verifiche prima di una decisione finale.In quale modo usi l'AI per aiutarti al meglio nel processo decisionale?";multiple_choice;"Pratica Operativa";"Uso dell'AI per la Produttività";Si;No;"Usare l'AI per strutturare il confronto tra le tre strategie, evidenziando pro e contro, rischi e aspetti ancora da approfondire.";"Usare l'AI per strutturare il confronto tra le tre strategie, evidenziando pro e contro, rischi e aspetti ancora da approfondire."
7;"Per quali di queste tipologie di ricerche online l'AI ti può fornire un risultato complessivamente attendibile?";checkboxes;"Pratica Operativa";"Uso dell'AI per la Produttività";Si;No;"Individuazione delle principali categorie di bisogni dei clienti sulla base di recensioni, commenti e feedback pubblici. | Raccolta e sintesi delle principali tendenze di settore descritte in articoli, blog e report pubblici recenti. | Confronto sintetico dei messaggi di posizionamento presenti sui siti web dei principali competitor. | Analisi del contesto competitivo di un settore a partire da fonti pubbliche online.";"Analisi del contesto competitivo di un settore a partire da fonti pubbliche online. | Confronto sintetico dei messaggi di posizionamento presenti sui siti web dei principali competitor. | Raccolta e sintesi delle principali tendenze di settore descritte in articoli, blog e report pubblici recenti. | Individuazione delle principali categorie di bisogni dei clienti sulla base di recensioni, commenti e feedback pubblici."
8;"Stai usando l'AI per scrivere una procedura operativa destinata agli operatori del customer care che gestiscono reclami sulla fatturazione. Il tuo obiettivo è ottenere un documento chiaro, direttamente utilizzabile durante le chiamate e basato sulla documentazione aziendale interna che fornirai all'AI come riferimento.Prompt di partenza: ""Scrivi una procedura per gestire un reclamo di fatturazione.""Quali modifiche o aggiunte al prompt renderebbero l'output più efficace e utilizzabile dagli operatori, riducendo il rischio di errori o informazioni inventate?";checkboxes;"Pensiero Strategico";"Prompting Operativo";Si;No;"Precisare che la procedura deve utilizzare esattamente i nomi dei sistemi, delle offerte e dei codici interni così come compaiono nel testo di policy fornito, senza modificarli o tradurli. | Chiedere esplicitamente che il modello non inserisca valutazioni personali sull’equità delle politiche di fatturazione, ma mantenga un tono neutro e strettamente operativo. | Indicare che, se nel testo di policy mancano dettagli su rimborsi o eccezioni, il modello deve scrivere esplicitamente «seguire le istruzioni del supervisore» invece di inventare condizioni o importi. | Richiedere al modello di segnalare in una breve nota finale quali parti della procedura si basano direttamente sul testo di policy e quali punti risultano poco definiti o dipendono da decisioni aziendali non specificate. | Richiedere che il modello distingua chiaramente tra verifiche obbligatorie nei sistemi (ad esempio controlli sulla fattura, sul profilo cliente, sulle promozioni attive) e azioni eventuali o facoltative, evidenziandole con etichette come «Obbligatorio» e «Facoltativo». | Indicare una lunghezza indicativa, ad esempio «massimo 15 passi», per evitare procedure troppo lunghe o difficili da seguire durante una chiamata in tempo reale. | Specificare che la procedura deve essere pensata per operatori del customer care dell'azienda che gestiscono reclami relativi alla fatturazione. | Indicare che la procedura deve essere organizzata in passi numerati (ad esempio 1., 2., 3., …).";"Specificare che la procedura deve essere pensata per operatori del customer care dell'azienda che gestiscono reclami relativi alla fatturazione. | Indicare che la procedura deve essere organizzata in passi numerati (ad esempio 1., 2., 3., …). | Richiedere che il modello distingua chiaramente tra verifiche obbligatorie nei sistemi (ad esempio controlli sulla fattura, sul profilo cliente, sulle promozioni attive) e azioni eventuali o facoltative, evidenziandole con etichette come «Obbligatorio» e «Facoltativo». | Precisare che la procedura deve utilizzare esattamente i nomi dei sistemi, delle offerte e dei codici interni così come compaiono nel testo di policy fornito, senza modificarli o tradurli. | Indicare che, se nel testo di policy mancano dettagli su rimborsi o eccezioni, il modello deve scrivere esplicitamente «seguire le istruzioni del supervisore» invece di inventare condizioni o importi. | Indicare una lunghezza indicativa, ad esempio «massimo 15 passi», per evitare procedure troppo lunghe o difficili da seguire durante una chiamata in tempo reale. | Richiedere al modello di segnalare in una breve nota finale quali parti della procedura si basano direttamente sul testo di policy e quali punti risultano poco definiti o dipendono da decisioni aziendali non specificate. | Chiedere esplicitamente che il modello non inserisca valutazioni personali sull’equità delle politiche di fatturazione, ma mantenga un tono neutro e strettamente operativo."
9;"Quali tra le seguenti affermazioni riguardo ai Large Language Models (LLMs) sono corrette?";checkboxes;"Fondamenti Chiave";"AI Literacy";Si;No;"Un LLM deve essere addestrato su dati rappresentativi del compito che svolge per ottenere prestazioni affidabili. | La qualità dei dati di addestramento influisce sulle risposte del LLM durante il suo utilizzo. | Un LLM dà risposte meno affidabili se riceve input molto diversi dai dati di addestramento. | Una volta finito l'addestramento di un LLM, questo modello è statico, ossia non apprende più autonomamente dagli input degli utenti.";"Un LLM deve essere addestrato su dati rappresentativi del compito che svolge per ottenere prestazioni affidabili. | Una volta finito l'addestramento di un LLM, questo modello è statico, ossia non apprende più autonomamente dagli input degli utenti. | La qualità dei dati di addestramento influisce sulle risposte del LLM durante il suo utilizzo. | Un LLM dà risposte meno affidabili se riceve input molto diversi dai dati di addestramento."
10;"ScenarioHai utilizzato un chatbot AI per generare un testo di supporto a una decisione professionale (ad esempio una sintesi di scenario, un confronto tra alternative o un breve documento informativo).Il testo appare chiaro e ben strutturato, ma contiene affermazioni, dati e collegamenti logici che non hai verificato direttamente.DomandaOrdina le seguenti azioni dal primo passo più appropriato (1, prima azione da fare) all’ultimo (5, ultima azione da fare), per valutare l’affidabilità dell’output prima di utilizzarlo o condividerlo in un contesto professionale.";ordering;"Pensiero Strategico";"Valutazione dell'Output e Fact-Checking";No;No;"Richiedere al modello di esplicitare le basi delle proprie affermazioni, tenendo presente che le risposte potrebbero non essere attendibili. | Verificare le affermazioni chiave consultando fonti affidabili, documenti ufficiali o dati interni disponibili. | Esaminare nel testo le affermazioni specifiche che incidono maggiormente sulla decisione o sul messaggio finale. | Riformulare le parti del testo che risultano inaccurate o inadeguate, adattandole al contesto di utilizzo professionale. | Controllare che il livello di dettaglio e le affermazioni siano proporzionati al contesto decisionale e alle conoscenze del destinatario.";""
